Company,Sector,Continent
BEIERSDORF AG,Pharmaceutical industry,Europe
COLGATE PALMOLIVE CO,Pharmaceutical industry,North America
ESTEE LAUDER COMPANIES INC. (THE),Pharmaceutical industry,North America
TENNECO INC.,Automotive industry,North America
BORGWARNER INC,Automotive industry,North America
"AUTOLIV, INC.",Automotive industry,North America
LINAMAR CORPORATION,Automotive industry,North America
KONGSBERG AUTOMOTIVE HOLDING ASA,Automotive industry,Europe
PEUGEOT,Automotive industry,Europe
RENAULT,Automotive industry,Europe
BAYERISCHE MOTOREN WERKE AG,Automotive industry,Europe
VOLKSWAGEN AG,Automotive industry,Europe
TATA MOTORS LIMITED,Automotive industry,Asia
NISSAN MOTOR CO LTD,Automotive industry,Asia
FORD MOTOR CO,Automotive industry,North America
"HYUNDAI MOTOR CO.,LTD.",Automotive industry,Asia
SUZUKI MOTOR CORPORATION,Automotive industry,Asia
MAZDA MOTOR CORPORATION,Automotive industry,Asia
SUBARU CORPORATION,Automotive industry,Asia
PACCAR INC,Automotive industry,North America
MITSUBISHI MOTORS CORPORATION,Automotive industry,Asia
TOYOTA INDUSTRIES CORPORATION,Automotive industry,Asia
ROSENBAUER INTERNATIONAL AG,Automotive industry,Europe
HONDA MOTOR CO LTD,Automotive industry,Asia
KAWASAKI HEAVY INDUSTRIES LTD,Automotive industry,Asia
CONTINENTAL AG,Automotive industry,Europe
BRIDGESTONE CORPORATION,Automotive industry,Asia
COMPAGNIE GENERALE DES ETABLISSEMENTS MICHELIN,Automotive industry,Europe
GOODYEAR TIRE & RUBBER CO,Automotive industry,North America
THE YOKOHAMA RUBBER COMPANY LIMITED,Automotive industry,Asia
TOYO TIRE CORPORATION,Automotive industry,Asia
"ZHEJIANG GEELY HOLDING GROUP CO., LTD.",Automotive industry,Asia
GENTEX CORP,Automotive industry,North America
RYDER SYSTEM INC,Automotive industry,North America
AUTOZONE INC,Automotive industry,North America
SONIC AUTOMOTIVE INC,Automotive industry,North America
AUTONATION INC,Automotive industry,North America
VOLKSWAGEN AG 2,Automotive industry,Europe
FRAPORT AG,Airline industry,Europe
DEUTSCHE LUFTHANSA AG,Airline industry,Europe
CHINA EASTERN AIRLINES CORPORATION LIMITED,Airline industry,Asia
SINGAPORE AIRLINES LTD,Airline industry,Asia
LATAM AIRLINES GROUP S.A.,Airline industry,Other
BOEING COMPANY (THE),Airline industry,North America
AIRBUS SE,Airline industry,Europe
LOCKHEED MARTIN CORP,Airline industry,North America
HONEYWELL INTERNATIONAL INC,Airline industry,North America
NORTHROP GRUMMAN CORPORATION,Airline industry,North America
SAFRAN,Airline industry,Europe
BAE SYSTEMS PLC,Airline industry,Europe
ROLLS-ROYCE HOLDINGS PLC,Airline industry,Europe
LEONARDO S.P.A.,Airline industry,Europe
TEXTRON INC,Airline industry,North America
CHINA EASTERN AIRLINES CORPORATION LIMITED2,Airline industry,Asia
MEGGITT PLC,Airline industry,Europe
UNILEVER PLC,Food industry,Europe
